claim_id,title,claim_status,proof_provenance,review_status,last_checked
type-I-overflow-a-one-generic-determinant-boundary,A=1 overflow 的小载体假设边界,established,repository_derivation,internal_review,2026-08-03
type-I-overflow-cofactor-r-chart-support,overflow 的余因子支撑 r-图表候选与同图表正控制,computationally_reproduced,repository_derivation,internal_review,2026-08-06
type-I-overflow-d-one-p-minus-two-g-rechart,d=1 overflow 的 p-2 G 重图表正规形,established,repository_derivation,internal_review,2026-08-03
type-I-overflow-d-only-square-excess-no-go,overflow 补秩的累积支撑互素性与 D-only 平方超额边界,established,repository_derivation,internal_review,2026-08-01
type-I-overflow-determinant-fixed-n-dual-support-conflict,overflow 行列式的固定 n 对偶图谱与累积支撑冲突,established,repository_derivation,internal_review,2026-08-03
type-I-overflow-fixed-n-bounded-divisor-saturation,overflow 固定 n 的有界除子外层秩递降,established,repository_derivation,internal_review,2026-08-03
type-I-overflow-full-product-d-one-g-anchor-retention-rigidity,完整乘积 d=1 饱和支到 p-2 G 锚点的支撑保留刚性,established,repository_derivation,internal_review,2026-08-12
type-I-overflow-high-carrier-fixed-n-R-descent,高载体 overflow 固定 n 有界除子的 R 严格递降,established,repository_derivation,internal_review,2026-08-03
type-I-overflow-outer-rank-reset,overflow RESET 的 joined-support 外层秩递降,computationally_reproduced,repository_derivation,internal_review,2026-08-03
type-I-overflow-r-one-dual-boundary,overflow 余数 r=1 的对偶边界,established,repository_derivation,internal_review,2026-08-03
type-I-overflow-unbounded-full-product-quotient-fold,overflow 固定-n 完整乘积商折叠的无界 support 严格递降,conditional,repository_derivation,internal_review,2026-08-12
type-I-overflow-unbounded-same-chart-promotion-persistence-boundary,overflow 同图表支撑升级的无界精确秩与高支撑父端点边界,established,repository_derivation,internal_review,2026-08-11
type-I-p-minus-one-equal-tail-marker-capacity-terminal-collapse,p-1 等尾显式标记的精确容量与单坐标终端坍缩,established,repository_derivation,internal_review,2026-08-11
type-I-path-anchored-atomic-split-complete-excess-admission,双侧完整超额原子来源的条件准入 schema 与精确秩边界,established,repository_derivation,internal_review,2026-08-13
type-I-phase-clearing-cell-capacity-contract,q 进清分相位胞与跨状态容量合同,established,repository_derivation,internal_review,2026-08-01
type-I-phase-labeled-candidate-selector-well-founded-schedule,重图表与形式吸收的不可逆两阶段良基调度,established,repository_derivation,internal_review,2026-07-31
type-I-psi-one-full-spectrum-terminal-descent-boundary,完整 F 谱中四百八十三个缺陷一状态的终端与提升边界,computationally_reproduced,mixed,internal_review,2026-07-31
type-I-source-lattice-qheight-dual-valuation-shift-carrier,源格角色的最小 q 层对偶与 content 估值移位载体,established,repository_derivation,internal_review,2026-08-10
type-I-type-II-mod-three-double-g-exit-obstruction,模三双 G 出口的精确等价与小缺口严格反例,established,repository_derivation,internal_review,2026-08-12
type-I-unified-terminal-first-selector-contract,Type I 终端优先的近邻—广义二进—对偶统一选择器合同,established,repository_derivation,internal_review,2026-08-11
type-I-universal-p-source-capacity-anchor-orbit,通用 p 源、容量锚点轨道与周期对偶证书,established,repository_derivation,internal_review,2026-08-01
type-II-gap-23-odd-h-qnr-terminal-descent,奇 h 的 gap-23 二次非剩余 Type II 终端与两尾递降,established,repository_derivation,internal_review,2026-08-12
type-II-odd-kernel-overflow-natural-tail-relation-graph,Type II 奇核盒外关系的 px 自然尾容量与 kappa=1 周期归约,established,repository_derivation,internal_review,2026-08-12
type-II-p-minus-one-divisor-downset-prime-power-allocation,p-1 因子 Type II 的端点整除单调性、因子下闭容量域与素数幂分配,established,repository_derivation,internal_review,2026-08-11
type-II-p-minus-one-endpoint-envelope-large-prime-allocation,p-1 因子 Type II 的端点容量包络、大素因子分配与 p=67369 完整分派,established,repository_derivation,internal_review,2026-08-11
type-II-p-minus-one-fixed-source-rank-finite-menu-cubic-capacity,p-1 因子 Type II 递降的固定源秩有限菜单与三次容量界,established,repository_derivation,internal_review,2026-08-11
type-II-q-one-c3-source-lineage-phase-root-entry,q=1 G 到 c=3 source-lineage 根及 R=11 RESET 的单向 phase relay,established,repository_derivation,internal_review,2026-08-16
type-II-q-one-full-carrier-phase-root-entry,q=1 G 全载体 Type I 根的目标无关 phase-root 准入,established,repository_derivation,independent_review,2026-08-17
type-II-q-one-full-carrier-second-anchor-fixed-n-macro,q=1 full-carrier 第二 anchor overflow 的固定-n 严格宏出口,established,repository_derivation,internal_review,2026-08-15
type-II-relation-reach-gcd-shadow-endpoint-descent,Type II 关系 Reach 的 q-owned gcd shadow 全称端点递降,established,repository_derivation,internal_review,2026-08-12
type-II-relation-reach-proper-endpoint-descent,Type II 关系图可达底层的真因子端点递降与终端优先边界,established,repository_derivation,internal_review,2026-08-12
type-II-symmetric-divisor-fiber-antipodal-physical-capacity-terminal,Type II 对称除子纤维的反足物理容量与逐奇核模式终端,established,repository_derivation,internal_review,2026-08-12
